+ CMD=/home/guodong/lmbench-3.0-a9/bin/lat_mem_rd
+ PARAM='-P 4 4096'
+ for cpu_binding in "0-3" "0-7" "0-11" "0-15" "0-23"
+ numactl --physcpubind=0-3 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.539
0.00098 1.540
0.00195 1.539
0.00293 1.539
0.00391 1.539
0.00586 1.539
0.00781 1.539
0.01172 1.540
0.01562 1.539
0.02344 1.539
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.067
0.12500 3.178
0.18750 3.284
0.25000 3.283
0.37500 3.288
0.50000 3.571
0.75000 5.735
1.00000 7.918
1.50000 10.134
2.00000 11.380
3.00000 13.044
4.00000 13.157
6.00000 12.433
8.00000 9.363
12.00000 13.105
16.00000 12.587
24.00000 12.563
32.00000 12.605
48.00000 12.731
64.00000 12.616
96.00000 12.738
128.00000 12.567
192.00000 12.665
256.00000 12.632
384.00000 12.800
512.00000 12.790
768.00000 12.710
1024.00000 12.897
1536.00000 12.884
2048.00000 12.878
3072.00000 13.020
4096.00000 13.126
+ for cpu_binding in "0-3" "0-7" "0-11" "0-15" "0-23"
+ numactl --physcpubind=0-7 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.539
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.539
0.00781 1.539
0.01172 1.540
0.01562 1.540
0.02344 1.539
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.066
0.12500 3.188
0.18750 3.324
0.25000 3.275
0.37500 3.338
0.50000 3.471
0.75000 3.931
1.00000 4.121
1.50000 4.262
2.00000 4.346
3.00000 4.305
4.00000 5.129
6.00000 7.327
8.00000 7.459
12.00000 7.947
16.00000 7.929
24.00000 7.871
32.00000 7.965
48.00000 7.990
64.00000 6.239
96.00000 7.551
128.00000 7.961
192.00000 7.987
256.00000 6.440
384.00000 6.276
512.00000 6.223
768.00000 6.365
1024.00000 12.755
1536.00000 12.920
2048.00000 12.790
3072.00000 7.126
4096.00000 13.155
+ for cpu_binding in "0-3" "0-7" "0-11" "0-15" "0-23"
+ numactl --physcpubind=0-11 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.540
0.00195 1.539
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.539
0.01172 1.539
0.01562 1.540
0.02344 1.540
0.03125 1.539
0.04688 1.540
0.06250 1.540
0.09375 3.061
0.12500 3.148
0.18750 3.287
0.25000 3.286
0.37500 3.405
0.50000 3.485
0.75000 5.137
1.00000 6.285
1.50000 4.724
2.00000 8.591
3.00000 4.157
4.00000 4.198
6.00000 4.408
8.00000 4.383
12.00000 6.548
16.00000 6.651
24.00000 6.143
32.00000 12.511
48.00000 12.526
64.00000 9.490
96.00000 12.667
128.00000 8.683
192.00000 12.624
256.00000 6.037
384.00000 12.674
512.00000 7.468
768.00000 6.392
1024.00000 6.748
1536.00000 6.530
2048.00000 7.068
3072.00000 13.066
4096.00000 8.465
+ for cpu_binding in "0-3" "0-7" "0-11" "0-15" "0-23"
+ numactl --physcpubind=0-15 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.539
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.540
0.03125 1.539
0.04688 1.540
0.06250 1.540
0.09375 2.979
0.12500 3.184
0.18750 3.283
0.25000 3.284
0.37500 3.287
0.50000 3.548
0.75000 4.228
1.00000 9.176
1.50000 6.780
2.00000 8.479
3.00000 4.104
4.00000 5.440
6.00000 12.010
8.00000 8.824
12.00000 13.324
16.00000 12.727
24.00000 12.522
32.00000 5.942
48.00000 12.611
64.00000 8.154
96.00000 6.176
128.00000 7.818
192.00000 6.108
256.00000 6.169
384.00000 5.941
512.00000 12.639
768.00000 7.241
1024.00000 12.878
1536.00000 12.839
2048.00000 12.832
3072.00000 7.016
4096.00000 13.117
+ for cpu_binding in "0-3" "0-7" "0-11" "0-15" "0-23"
+ numactl --physcpubind=0-23 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.540
0.00195 1.540
0.00293 1.539
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.540
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.070
0.12500 3.166
0.18750 3.303
0.25000 3.301
0.37500 3.283
0.50000 3.830
0.75000 3.928
1.00000 4.107
1.50000 7.599
2.00000 4.210
3.00000 4.175
4.00000 4.244
6.00000 7.138
8.00000 6.899
12.00000 7.871
16.00000 7.859
24.00000 7.825
32.00000 7.842
48.00000 7.810
64.00000 7.797
96.00000 7.924
128.00000 7.739
192.00000 7.798
256.00000 7.793
384.00000 6.345
512.00000 6.176
768.00000 6.401
1024.00000 6.823
1536.00000 6.499
2048.00000 6.333
3072.00000 7.384
4096.00000 7.518

