
~/wayca-deployer.git/tools$ set -x; CMD="/home/guodong/lmbench-3.0-a9/bin/lat_mem_rd" PARAM="-P 4 4096"; for cpu_binding in "0-3" "0,1guodong@ubuntu:~/wayca-deployer.git/tools$ set -x; CMD="/home/guodong/lmbench-3.0-a9/bin/lat_mem_rd" PARAM="-P 4 4096"; for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"; do numactl --physcpubind=$cpu_binding $CMD $PARAM; done; set +x;
+ CMD=/home/guodong/lmbench-3.0-a9/bin/lat_mem_rd
+ PARAM='-P 4 4096'
+ for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"
+ numactl --physcpubind=0-3 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.539
0.00195 1.539
0.00293 1.540
0.00391 1.540
0.00586 1.539
0.00781 1.539
0.01172 1.540
0.01562 1.540
0.02344 1.539
0.03125 1.539
0.04688 1.540
0.06250 1.540
0.09375 3.044
0.12500 3.197
0.18750 3.292
0.25000 3.256
0.37500 3.376
0.50000 3.666
0.75000 6.091
1.00000 8.860
1.50000 11.664
2.00000 12.206
3.00000 12.759
4.00000 13.109
6.00000 12.337
8.00000 8.796
12.00000 13.222
16.00000 12.725
24.00000 12.532
32.00000 12.533
48.00000 12.783
64.00000 12.648
96.00000 12.606
128.00000 12.758
192.00000 12.595
256.00000 12.625
384.00000 12.689
512.00000 12.763
768.00000 12.809
1024.00000 12.725
1536.00000 12.828
2048.00000 12.996
3072.00000 13.080
4096.00000 13.185
+ for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"
+ numactl --physcpubind=0,1,4,5 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.539
0.00098 1.539
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.539
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.066
0.12500 3.182
0.18750 3.295
0.25000 3.291
0.37500 3.342
0.50000 3.562
0.75000 4.109
1.00000 4.591
1.50000 5.369
2.00000 5.690
3.00000 5.742
4.00000 5.891
6.00000 7.000
8.00000 6.418
12.00000 7.940
16.00000 7.949
24.00000 7.965
32.00000 7.848
48.00000 7.876
64.00000 7.853
96.00000 7.931
128.00000 7.864
192.00000 7.946
256.00000 7.808
384.00000 7.867
512.00000 7.870
768.00000 7.782
1024.00000 7.935
1536.00000 7.876
2048.00000 7.968
3072.00000 7.941
4096.00000 7.941
+ for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"
+ numactl --physcpubind=0,1,4,8 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.539
0.00098 1.539
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.540
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.062
0.12500 3.197
0.18750 3.291
0.25000 3.276
0.37500 3.275
0.50000 3.476
0.75000 3.926
1.00000 4.087
1.50000 4.161
2.00000 4.146
3.00000 4.104
4.00000 4.171
6.00000 4.522
8.00000 5.652
12.00000 6.523
16.00000 6.483
24.00000 6.291
32.00000 6.321
48.00000 6.234
64.00000 6.385
96.00000 6.234
128.00000 6.249
192.00000 6.282
256.00000 6.291
384.00000 6.416
512.00000 6.399
768.00000 6.413
1024.00000 6.476
1536.00000 6.823
2048.00000 6.776
3072.00000 6.984
4096.00000 7.265
+ for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"
+ numactl --physcpubind=0,4,8,12 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.540
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.540
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.072
0.12500 3.225
0.18750 3.286
0.25000 3.312
0.37500 3.426
0.50000 3.531
0.75000 3.885
1.00000 4.086
1.50000 4.180
2.00000 4.147
3.00000 4.102
4.00000 4.150
6.00000 5.243
8.00000 8.630
12.00000 6.511
16.00000 6.518
24.00000 6.398
32.00000 6.428
48.00000 6.386
64.00000 6.343
96.00000 6.392
128.00000 6.322
192.00000 6.416
256.00000 6.428
384.00000 6.307
512.00000 6.383
768.00000 6.352
1024.00000 6.383
1536.00000 6.311
2048.00000 6.460
3072.00000 6.423
4096.00000 6.342
+ for cpu_binding in "0-3" "0,1,4,5" "0,1,4,8" "0,4,8,12" "8,12,16,20"
+ numactl --physcpubind=8,12,16,20 /home/guodong/lmbench-3.0-a9/bin/lat_mem_rd -P 4 4096
"stride=64
0.00049 1.540
0.00098 1.540
0.00195 1.540
0.00293 1.540
0.00391 1.540
0.00586 1.540
0.00781 1.540
0.01172 1.540
0.01562 1.540
0.02344 1.540
0.03125 1.540
0.04688 1.540
0.06250 1.540
0.09375 3.059
0.12500 3.188
0.18750 3.281
0.25000 3.333
0.37500 3.359
0.50000 3.485
0.75000 3.800
1.00000 4.001
1.50000 4.086
2.00000 4.021
3.00000 4.039
4.00000 4.055
6.00000 4.856
8.00000 8.310
12.00000 6.284
16.00000 6.272
